sha256,kept_image_id,kept_source_dataset,kept_source_relative_path,discarded_source_dataset,discarded_source_relative_path,discarded_source_filename
a0db108a92023eafba63218e49fbc06c99361fbdab891f5265d9fdb1860d7620,img_00001263,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0245.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0245.jpg,COLT+WOODSMAN+pistol_0245.jpg
f6b9f976cbecad5d8dee8e54bd5e7127861856c0d07bd3b0f162281c26108209,img_00001264,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0248.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0248.jpg,COLT+WOODSMAN+pistol_0248.jpg
6ed27d4be9e88fd097818a9363485e04233e99538a21dc3ec96f6cf0535aead6,img_00001265,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0249.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0249.jpg,COLT+WOODSMAN+pistol_0249.jpg
3d761726690476b877229866797cf7beeb2495eac78b80fbf3aae8a17468c3ad,img_00001266,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0251.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0251.jpg,COLT+WOODSMAN+pistol_0251.jpg
1e406d2c435de8bb91b1e3056e0230f412b612659b7a7687e9d9a2fcda2f701a,img_00001267,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0254.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0254.jpg,COLT+WOODSMAN+pistol_0254.jpg
372ac0c7abacc92389d951fed9632f49c31f5e769dc55c5e8bced079d4e826bd,img_00001268,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0258.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0258.jpg,COLT+WOODSMAN+pistol_0258.jpg
b4785949ce296be2bbcd9f8e50d2b59b29e9675dedbfce3f49ea9b1cdbccecbf,img_00001269,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0266.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0266.jpg,COLT+WOODSMAN+pistol_0266.jpg
c960f5579f1ed8e78f24003a44e06ba7e837c44a8baae33efe34d912c478c0c3,img_00001270,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0268.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0268.jpg,COLT+WOODSMAN+pistol_0268.jpg
70f90d63d8c9f560d5c57da80d41d97959fd4570b4bf448c01304275da5c2aba,img_00001271,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0270.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0270.jpg,COLT+WOODSMAN+pistol_0270.jpg
2423660cd511de31a2e65792907c6165c8c6dcc74ee0d81a786da7392e3be9cc,img_00001272,02_deepfirearm,subset_choosen/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0271.jpg,02_deepfirearm,train/COLT+WOODSMAN+pistol/COLT+WOODSMAN+pistol_0271.jpg,COLT+WOODSMAN+pistol_0271.jpg
